,DateLastVerified,ID,OperatorID,UsageTypeID,StatusTypeID,DateLastStatusUpdate,DateCreated,AddressInfo.ID,AddressInfo.Title,AddressInfo.AddressLine1,AddressInfo.Town,AddressInfo.Postcode,AddressInfo.Latitude,AddressInfo.Longitude,AddressInfo.ContactEmail,AddressInfo.AccessComments,GeneralComments,OperatorsReference,AddressInfo.ContactTelephone2,ID,ConnectionTypeID,StatusTypeID,LevelID,PowerKW,CurrentTypeID,Quantity,Comments
60,2025-07-03T07:16:00Z,456448,3632.0,4.0,50,2025-07-03T07:16:00Z,2025-06-21T09:42:00Z,456837,Basic-Fit 1114 Den Bosch Vlijmenseweg (PowerGo),Oude Vlijmenseweg 186,'s-Hertogenbosch,5223 GT,51.69568578,5.28633309,,,,,,765858.0,33.0,50.0,3.0,30.0,30.0,1.0,
61,2025-07-03T07:16:00Z,456447,3632.0,4.0,50,2025-07-03T07:16:00Z,2025-06-21T09:42:00Z,456836,TopParken Residence De Leuvert Cromvoirt (PowerGo),Loverensestraat 11,Cromvoirt,5266AM,51.65532526,5.2357943,,,,,,765852.0,1036.0,50.0,2.0,12.7,20.0,1.0,
62,2025-07-03T07:16:00Z,456446,3632.0,4.0,50,2025-07-03T07:16:00Z,2025-06-21T09:42:00Z,456835,HealthCity Vught (PowerGo),Kraaiengatweg 3,Vught,5262 LK,51.6351189,5.2780108,,,,,,765850.0,33.0,50.0,3.0,30.0,30.0,1.0,
63,2025-07-03T07:16:00Z,456445,3632.0,4.0,50,2025-07-03T07:16:00Z,2025-06-21T09:42:00Z,456834,Berkelseweg 36 Berkel-Enschot (PowerGo),Berkelseweg 36,Berkel-Enschot,5056PN,51.5873,5.15914,,,,,,765848.0,1036.0,50.0,2.0,12.7,20.0,1.0,
64,2025-07-03T07:16:00Z,456444,3632.0,4.0,50,2025-07-03T07:16:00Z,2025-06-21T09:42:00Z,456833,Basic-Fit 1141 Etten-Leur (PowerGo),Vijfhuizenweg 15,Etten-Leur,4871 EE,51.58281708,4.66196156,,,,,,765846.0,33.0,50.0,3.0,30.0,30.0,1.0,
65,2025-07-03T07:16:00Z,456443,3632.0,4.0,50,2025-07-03T07:16:00Z,2025-06-21T09:42:00Z,456832,Basic-Fit 1188 Tilburg (PowerGo),Spaubeekstraat 89C,Tilburg,5035 JV,51.58141506,4.9747064,,,,,,765843.0,33.0,50.0,3.0,30.0,30.0,1.0,
66,2025-07-03T07:16:00Z,456442,3632.0,4.0,50,2025-07-03T07:16:00Z,2025-06-21T09:42:00Z,456831,Basic-Fit 1085 Sint Oedenrode Bremhorst (PowerGo),Bremhorst 4,Sint-Oedenrode,5491 LR,51.57879837,5.45240191,,,,,,765840.0,33.0,50.0,3.0,30.0,30.0,1.0,
67,2025-07-03T07:16:00Z,456441,3632.0,4.0,50,2025-07-03T07:16:00Z,2025-06-21T09:42:00Z,456830,Lepelkruidhof 27 Tilburg (PowerGo),Lepelkruidhof 27,Tilburg,5044 GD,51.57698059,5.03402472,,,,,,765838.0,1036.0,50.0,2.0,12.7,20.0,1.0,
68,2025-07-03T07:16:00Z,456440,3632.0,4.0,50,2025-07-03T07:16:00Z,2025-06-21T09:42:00Z,456829,Olststraat 2 Tilburg (PowerGo),Olststraat 2,Tilburg,5045 TV,51.5761324,4.9909987,,,,,,765836.0,1036.0,50.0,2.0,12.7,20.0,1.0,
69,2025-07-03T07:16:00Z,456439,3632.0,4.0,50,2025-07-03T07:16:00Z,2025-06-21T09:42:00Z,456828,Basic-Fit 1132 Tilburg Artemisstraat (PowerGo),Artemisstraat 6,Tilburg,5042 XA,51.57386363,5.05206958,,,,,,765834.0,33.0,50.0,3.0,30.0,30.0,1.0,
70,2025-07-03T07:16:00Z,456438,3632.0,4.0,50,2025-07-03T07:16:00Z,2025-06-21T09:42:00Z,456827,HealthCity Oisterwijk (PowerGo),Moergestelseweg 36,Oisterwijk,5062 JW,51.57334909,5.18202902,,,,,,765832.0,33.0,50.0,3.0,30.0,30.0,1.0,
71,2025-07-03T07:16:00Z,456437,3632.0,4.0,0,2025-07-03T07:16:00Z,2025-06-21T09:42:00Z,456826,Vriezenveenstraat 155 Tilburg (PowerGo),Vriezenveenstraat 155,Tilburg,5036 VH,51.5711832,4.9714785,,,,,,765830.0,1036.0,0.0,2.0,12.7,20.0,1.0,
72,2025-09-05T08:39:00Z,456436,3632.0,4.0,50,2025-09-05T08:39:00Z,2025-06-21T09:42:00Z,456825,Jumbo 4860 Gemert P. Poellplein (PowerGo),Pastoor Poellplein 9,Gemert,5421PL,51.56147766,5.6856513,,,,,,765828.0,33.0,50.0,3.0,90.0,30.0,1.0,
73,2025-07-03T07:16:00Z,456435,3632.0,4.0,50,2025-07-03T07:16:00Z,2025-06-21T09:42:00Z,456824,HyTEPS (PowerGo),Elisabethplaats 30,Gemert,5421 LC,51.5567732,5.680948,,,,,,765825.0,33.0,50.0,3.0,30.0,30.0,1.0,
74,2025-07-03T07:16:00Z,456434,3632.0,4.0,50,2025-07-03T07:16:00Z,2025-06-21T09:42:00Z,456823,Sint Sebastiaanstraat 20 Tilburg (PowerGo),Sint Sebastiaanstraat 20,Tilburg,5017 AW,51.552476,5.0914393,,,,,,765823.0,1036.0,50.0,2.0,12.7,20.0,1.0,
75,2025-07-03T07:16:00Z,456433,3632.0,4.0,50,2025-07-03T07:16:00Z,2025-06-21T09:42:00Z,456822,Pieter Brinkmanstraat 12 Tilburg (PowerGo),Pieter Brinkmanstraat 12,Tilburg,5025 VN,51.5493304,5.0601278,,,,,,765819.0,1036.0,50.0,2.0,12.7,20.0,1.0,
76,2025-07-03T07:16:00Z,456432,3632.0,4.0,50,2025-07-03T07:16:00Z,2025-06-21T09:42:00Z,456821,Van Grobbendonckstraat 32 Tilburg (PowerGo),Van Grobbendonckstraat 32,Tilburg,5021 GP,51.54808044,5.09055567,,,,,,765817.0,1036.0,50.0,2.0,12.7,20.0,1.0,
77,2025-07-03T07:16:00Z,456431,3632.0,4.0,50,2025-07-03T07:16:00Z,2025-06-21T09:42:00Z,456820,Jumbo 5128 St. Willebrord Kievitstraat (PowerGo),Kievitstraat 17,Sint Willebrord,4711KH,51.54584487,4.58957014,,,,,,765815.0,33.0,50.0,3.0,90.0,30.0,1.0,
78,2025-07-03T07:16:00Z,456430,3632.0,4.0,0,2025-07-03T07:16:00Z,2025-06-21T09:42:00Z,456819,Jeker 59 Tilburg  (PowerGo),Jeker 59,Tilburg,5032 AX,51.54517,5.0430913,,,,,,765813.0,1036.0,0.0,2.0,12.7,20.0,1.0,
79,2025-07-03T07:16:00Z,456428,3632.0,4.0,50,2025-07-03T07:16:00Z,2025-06-21T09:42:00Z,456817,Aces Direct (PowerGo),Rosa Castellanosstraat 1,Tilburg,5032 MG,51.53625929,5.044888,,,,,,765789.0,1036.0,50.0,2.0,12.7,20.0,1.0,
80,2025-07-03T07:16:00Z,456427,3632.0,4.0,50,2025-07-03T07:16:00Z,2025-06-21T09:42:00Z,456816,First Impression (PowerGo),Maidstone 24,Tilburg,5026SK,51.53163775,5.04596429,,,,,,765787.0,33.0,50.0,3.0,90.0,30.0,1.0,
81,2025-07-03T07:16:00Z,456426,3632.0,4.0,50,2025-07-03T07:16:00Z,2025-06-21T09:42:00Z,456815,Hilvaria Studio's (PowerGo),Goirlesedijk 12b,Tilburg,5081ND,51.509626,5.107387,,,,,,765785.0,33.0,50.0,3.0,30.0,30.0,1.0,
82,2025-07-03T07:16:00Z,456425,3632.0,4.0,50,2025-07-03T07:16:00Z,2025-06-21T09:42:00Z,456814,Basic-Fit 1208 Goes Klein Frankrijk (PowerGo),Klein Frankrijk 11,Goes,4461ZN,51.50654292,3.87841044,,,,,,765783.0,33.0,50.0,3.0,30.0,30.0,1.0,
83,2025-07-03T07:16:00Z,456424,3632.0,4.0,50,2025-07-03T07:16:00Z,2025-06-21T09:42:00Z,456813,Basic-Fit 1089 Bergen op Zoom (PowerGo),Bastionweg 30,Bergen op Zoom,4614 RM,51.50542831,4.30562353,,,,,,765781.0,33.0,50.0,3.0,30.0,30.0,1.0,
84,2025-09-05T08:39:00Z,456423,3632.0,4.0,50,2025-09-05T08:39:00Z,2025-06-21T09:42:00Z,456812,Jumbo 3179 Oirschot WC De Poort (PowerGo),Harnasweg 3,Oirschot,5688EA,51.50456619,5.31408119,,,,,,765779.0,33.0,50.0,3.0,90.0,30.0,1.0,
85,2025-07-03T07:16:00Z,456422,3632.0,4.0,50,2025-07-03T07:16:00Z,2025-06-21T09:42:00Z,456811,Basic-Fit 1097 Goes v.d. Spiegelstraat (PowerGo),v.d. Spiegelstraat 82-94,Goes,4461 LN,51.49921726,3.89650163,,,,,,765777.0,33.0,50.0,3.0,30.0,30.0,1.0,
86,2025-07-03T07:16:00Z,456420,3632.0,4.0,50,2025-07-03T07:16:00Z,2025-06-21T09:42:00Z,456809,Jumbo 5085 Heinkenszand Stenevate (PowerGo),Stenevate 2,Heinkenszand,4451 KB,51.4719907,3.81996619,,,,,,765771.0,33.0,50.0,3.0,90.0,30.0,1.0,
87,2025-07-03T07:16:00Z,456419,3632.0,4.0,0,2025-07-03T07:16:00Z,2025-06-21T09:42:00Z,456808,Jumbo 4854 Deurne Schelde (PowerGo),Schelde 40,Deurne,5751VH,51.4561578,5.8041168,,,,,,765769.0,33.0,0.0,3.0,150.0,30.0,1.0,
88,2025-07-03T07:16:00Z,456418,3632.0,4.0,50,2025-07-03T07:16:00Z,2025-06-21T09:42:00Z,456807,Basic-Fit 1203 Deurne Fabriekstraat (PowerGo),Fabriekstraat 24,Deurne,5753 AH,51.4544679,5.79286247,,,,,,765766.0,33.0,50.0,3.0,30.0,30.0,1.0,
89,2025-07-03T07:16:00Z,456417,3632.0,4.0,50,2025-07-03T07:16:00Z,2025-06-21T09:42:00Z,456806,Basic-Fit 1166 Eindhoven Limburglaan (PowerGo),Limburglaan 36,Eindhoven,5652 AA,51.43222478,5.45239931,,,,,,765763.0,33.0,50.0,3.0,30.0,30.0,1.0,
90,2025-07-03T07:16:00Z,456416,3632.0,4.0,50,2025-07-03T07:16:00Z,2025-06-21T09:42:00Z,456805,Jumbo 3833 Hoogerheide Raadhuisstraat (PowerGo),Raadhuisstraat 87,Hoogerheide,4631 NC,51.42529139,4.32361667,,,,,,765761.0,33.0,50.0,3.0,50.0,30.0,1.0,
91,2025-07-03T07:16:00Z,456413,3632.0,4.0,50,2025-07-03T07:16:00Z,2025-06-21T09:42:00Z,456802,Jumbo 3193 Aardenburg Peurssenstraat (PowerGo),Peurssensstraat 21,Aardenburg,4527BK,51.275006,3.4446015,,,,,,765754.0,33.0,50.0,3.0,90.0,30.0,1.0,
92,2025-07-03T07:16:00Z,456406,3632.0,4.0,50,2025-07-03T07:16:00Z,2025-06-21T09:42:00Z,456795,Basic-Fit 1098 Sittard Limbrichterweg (PowerGo),Limbrichterweg 78,Sittard,6135 GJ,51.00709398,5.84627541,,,,,,765737.0,33.0,50.0,3.0,30.0,30.0,1.0,
